Local;COD Cliente;Razão Social;Nome Fantasia;ATIVO;Série do Fabricante;Condição;cod Produto;Descrição PRO;Valor da Compra;Inativo;Contrato;Setor;Responsável;Data Movimento;Num.OS;Observação;Envio / Retorno;Val Cobrado
WEBACK [0];36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1254;PE09EP8T;Novo;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;0,00;;51;K2 - 8GB;;04/08/2025;5772;;Envio;219,00
WEBACK [0];36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1363;PE07CDRN;Novo;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;0,00;;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;04/08/2025;5808;;Retorno;260,00
WEBACK [0];36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1712;PE061RV6;Novo;1028;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;0,00;;51;K2 - 16GB;;04/08/2025;5789;;Retorno;260,00
WEBACK [0];36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1714;PE07RXCE;Novo;10232;NOTEBOOK LENOVO THINKPAD T14 G2 CORE I5;0,00;;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;04/08/2025;5806;;Retorno;260,00
WEBACK [0];36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;4512;PE072GRS;Novo;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;4.169,99;;51;PRICE LIST 2;;04/08/2025;5772;;Retorno;234,00
WEBACK [0];36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;5692;PE0DP9XY;Novo;10282;NOTEBOOK LENOVO THINKBOOK 14 CORE I5 SSD;4.525,99;;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;04/08/2025;5805;;Retorno;260,00
WEBACK [0];36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;5768;PE06KTSN;Novo;10218;NOTEBOOK LENOVO THINKPAD T14 G1 CORE I5;1.871,50;;51;PRICE LIST 2;;04/08/2025;5782;;Envio;234,00
WEBACK [0];36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;6245;PE0EAED4;Novo;10282;NOTEBOOK LENOVO THINKBOOK 14 CORE I5 SSD;4.394,50;;51;PRICE LIST 2 - 24GB;;04/08/2025;5706;;Envio;254,00
