cod pro;Razão Social;Nome Fantasia;ativo;Série do Fabricante;cod Produto;Descrição pro;Contrato;Setor;Responsável;Data Movimento;Num.OS;Observação;Envio / Retorno;Val Cobrado
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1246;PE09EP8X;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;23/02/2024;1152;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1331;SPE061RRK;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;27/02/2024;1172;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2130;PE07D1LK;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;27/02/2024;1162;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1085;GGWKPP3;10226;NOTEBOOK DELL LATITUDE 5420 CORE I5 SSD;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;28/02/2024;1184;;Retorno;340,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1647;PE099L3M;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;28/02/2024;1188;;Retorno;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2191;PE0A8SNG;10237;NOTEBOOK LENOVO THINKPAD L14 G1 AMD R5 P;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;29/02/2024;1193;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1266;PE09ENKF;1026;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;01/03/2024;1200;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1647;PE099L3M;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;01/03/2024;1192;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2396;PE06S9HQ;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;01/03/2024;1191;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2397;PE07CY1G;1022;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;04/03/2024;1190;;Envio;219,00
